Sample ID,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Zr,Nb,Ba,La,Ce,Nd,Sm,Yb,Lu,Hf,Pb,Th,U,Island,Group,Ocean
3072,38.57,-27.82,45.2791461412151,3.8587848932676514,14.80911330049261,11.843185550082099,0.18472906403940884,8.672003284072249,10.652709359605911,3.0582922824302132,1.0673234811165844,0.5747126436781609,20.0,657.0,262.0,42.0,270.0,30.0,65.0,36.0,8.3,2.41,0.35,5.82,1.95,2.5,1.0,Sao Jorge,Azores,Atlantic
3073,38.57,-27.86,46.44217897229946,3.305529811553908,14.313664916074556,11.008135104520646,0.19565441252188243,9.103078982597054,10.596231078158787,3.151065801668211,1.2666048810627124,0.6178560395427866,26.0,601.0,262.0,48.0,313.0,36.0,75.0,38.0,8.2,2.3,0.35,5.87,3.54,3.7,1.31,Sao Jorge,Azores,Atlantic
3075,38.57,-27.82,45.31521405946664,3.862266271584755,14.846224583631345,11.821804434453867,0.18391744150403597,8.37846122407275,10.636558700316746,3.2798610401553083,1.1035046490242157,0.5721875957903342,21.0,661.0,260.0,41.0,267.0,29.0,65.0,36.0,8.4,2.44,0.36,5.94,1.9,2.6,0.98,Sao Jorge,Azores,Atlantic
3076,38.72,-28.24,45.509955302722474,3.138967899227956,13.906948394961397,11.377488825680619,0.17269402681836654,10.605444941080862,11.235270215359611,2.7834213734254374,0.8533116619260462,0.41649735879723687,17.0,566.0,181.0,34.0,244.0,27.0,57.0,31.0,6.7,1.9,0.27,4.5,1.5,2.5,0.85,Sao Jorge,Azores,Atlantic
3279,38.54,-27.76,46.447583947583944,3.3374283374283373,14.844389844389843,10.933660933660933,0.17403767403767403,8.783783783783782,10.636773136773137,3.2555282555282554,1.0544635544635543,0.5323505323505323,22.0,587.0,231.0,38.0,270.0,30.0,65.0,36.0,8.1,2.37,0.35,5.49,2.13,3.0,1.05,Sao Jorge,Azores,Atlantic
3280,38.57,-27.8,46.54434250764526,3.3944954128440368,14.209989806320081,10.56065239551478,0.17329255861365955,10.18348623853211,10.407747196738024,2.9663608562691133,1.019367991845056,0.5402650356778798,22.0,567.0,240.0,46.0,282.0,33.0,69.0,36.0,7.7,2.15,0.33,5.73,1.93,3.2,1.08,Sao Jorge,Azores,Atlantic
3281,38.56,-27.82,45.96865075299661,3.7496158180514287,15.408257350681279,11.894273127753301,0.1844073353140047,8.165147013625653,10.203872554041594,3.032476180719188,0.9220366765700235,0.47126319024690083,16.0,737.0,210.0,34.0,239.0,26.0,56.0,33.0,7.6,2.18,0.32,4.97,1.52,2.4,0.91,Sao Jorge,Azores,Atlantic
3282,38.72,-28.23,47.55158607945797,3.551996714916333,17.133764500564627,9.51647674776717,0.1437224104301407,6.436710809978442,10.943434965609281,3.018170619032954,1.0984498511446465,0.6056873010984499,17.0,639.0,293.0,45.0,278.0,33.0,73.0,39.0,8.5,2.31,0.34,6.55,1.72,3.4,1.33,Sao Jorge,Azores,Atlantic
3283,38.68,-28.2,46.25510204081633,3.1428571428571432,15.091836734693878,11.653061224489797,0.1734693877551021,8.897959183673471,10.59183673469388,2.8673469387755106,0.8673469387755104,0.4591836734693878,17.0,474.0,209.0,33.0,228.0,26.0,57.0,32.0,7.2,2.08,0.31,5.09,1.33,2.6,0.84,Sao Jorge,Azores,Atlantic
3284,38.68,-28.2,46.6782324727013,3.6738442698234515,15.644453515664864,11.439942851311361,0.17348709051944078,6.949688743749362,9.664251454230024,3.7452801306255745,1.2450250025512808,0.7857944688233494,26.0,749.0,324.0,55.0,315.0,43.0,93.0,49.0,10.5,2.57,0.38,7.07,2.25,4.33,1.55,Sao Jorge,Azores,Atlantic
3285,38.68,-28.2,45.41547277936963,4.001227998362669,15.319279574293901,12.198117069177242,0.18419975440032746,7.521489971346705,10.386819484240688,3.264428980761359,1.0949652067130577,0.6139991813344249,21.0,715.0,232.0,46.0,301.0,35.0,75.0,40.0,8.7,2.2,0.33,5.49,1.82,3.3,1.15,Sao Jorge,Azores,Atlantic
3287,38.68,-28.2,46.26713029249335,3.395377377786868,16.16895070566578,11.249744323992635,0.1738596850071589,7.128247085293515,10.62589486602577,3.4976477807322555,0.8897525056248721,0.6033953773777867,16.0,570.0,210.0,34.0,234.0,25.0,57.0,32.0,7.4,2.19,0.32,4.85,1.55,2.3,0.81,Sao Jorge,Azores,Atlantic
3288,38.68,-28.05,45.868741681171294,3.870175079348828,16.484079041670938,11.682195146923315,0.17405549298658754,6.767687109654961,9.491143646974507,3.6654039111293133,1.2695812429609912,0.7269376471792772,26.0,769.0,305.0,54.0,329.0,39.0,84.0,45.0,9.5,2.47,0.36,6.84,2.03,3.7,1.3,Sao Jorge,Azores,Atlantic
